entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,ambiguous_candle,symbol,period
2025-12-23 12:20:00,12,124.14,2025-12-23 15:05:00,122.89139999999999,-1,SHORT,RSI_TREND,0,1.0,0.756808419239555,MILD,0.025,12565.103579798679,12860.412729487462,314.12758949496697,124.88000000000001,0.00442371109145015,71009.96945801718,0.006558699855002426,465.73307638802396,170.4239266992412,295.3091496887828,0.9400930054044626,1,trailing_stop,False,SOLUSDT,TEST
2025-12-24 08:00:00,8,121.35,2025-12-24 10:25:00,121.986,-1,SHORT,RSI_TREND,0,1.0,0.8131533937981094,PREMIUM,0.0325,12860.412729487462,12061.99411447525,417.9634137083425,121.986,0.004,104490.85342708562,-0.005241038318912317,-547.6405667872061,250.77804822500545,-798.4186150122116,-1.910259579728079,0,stop_loss,False,SOLUSDT,TEST
2025-12-25 08:20:00,8,122.06,2025-12-25 12:55:00,122.035588,-1,SHORT,RSI_TREND,0,1.0,0.8072126148711591,PREMIUM,0.0325,12061.99411447525,12032.458038722785,392.01480872044567,122.55,0.006901651466600965,56800.145677815766,0.001879999999999987,106.7842738742929,136.32034962675783,-29.53607575246494,-0.07534428571428729,0,break_even_stop,False,SOLUSDT,TEST
2025-12-26 14:50:00,14,122.33,2025-12-26 15:05:00,121.51454999999999,-1,SHORT,RSI_TREND,0,1.0,0.7317701505254124,MILD,0.025,12032.458038722785,12091.113447315021,300.81145096806966,124.63000000000001,0.01871832597678594,16070.424852154485,0.006049897817379246,97.22442823740661,38.56901964517076,58.65540859223585,0.19499061090750155,1,trailing_stop,False,SOLUSDT,TEST
2026-01-02 02:55:00,2,126.55,2026-01-02 04:20:00,127.19085,1,LONG,RSI_TREND,0,1.0,0.7317145111725067,MILD,0.025,12091.113447315021,12346.915940548888,302.27783618287555,126.07,0.00402907252330546,75024.17353730982,0.0058096009482417775,435.8605097234108,180.05801648954355,255.80249323386727,0.8462495843694902,1,trailing_stop,False,SOLUSDT,TEST
2026-01-02 12:40:00,12,128.37,2026-01-02 14:15:00,127.98,1,LONG,RSI_TREND,0,1.0,0.8445387280452277,HIGH,0.035,12346.915940548888,11816.92262459152,432.14205791921114,127.98,0.004434072345390955,97459.40622019979,-0.0030380930123861116,-296.09074102888854,233.90257492847948,-529.993315957368,-1.2264330820039049,0,stop_loss,False,SOLUSDT,TEST
2026-01-02 14:50:00,14,129.38,2026-01-02 16:30:00,130.91215,1,LONG,RSI_TREND,0,1.0,0.7584037815386567,MILD,0.025,11816.92262459152,11902.900091958476,295.423065614788,126.91,0.015209125475285232,19424.066564172233,0.006826337146390448,132.5952271209696,46.617759754013356,85.97746736695626,0.29103166737517083,1,trailing_stop,False,SOLUSDT,TEST
2026-01-03 02:30:00,2,132.8,2026-01-03 05:30:00,132.14,1,LONG,RSI_TREND,0,1.0,0.7255809384686707,MILD,0.025,11902.900091958476,11433.29938790936,297.5725022989619,132.14,0.004670081349804192,63718.91194388693,-0.004969879518072484,-316.67531538378785,152.92538866532863,-469.6007040491165,-1.5781051690633805,0,stop_loss,False,SOLUSDT,TEST
2026-01-03 18:25:00,18,132.06,2026-01-03 20:05:00,131.53176,1,LONG,RSI_TREND,0,1.0,0.7231584050094875,MILD,0.025,11433.29938790936,10975.967412392976,285.832484697734,131.53176,0.004,71458.1211744335,-0.004000000000000115,-285.8324846977422,171.4994908186404,-457.3319755163826,-1.6000000000000287,0,stop_loss,False,SOLUSDT,TEST
2026-01-04 03:15:00,3,134.15,2026-01-04 06:40:00,134.17683,1,LONG,RSI_TREND,0,1.0,0.8578658587610967,HIGH,0.035,10975.967412392976,10926.026760666584,384.15885943375423,133.6134,0.004,96039.71485843856,0.0018799999999999481,180.5546639338595,230.49531566025252,-49.940651726393014,-0.1300000000000129,0,break_even_stop,False,SOLUSDT,TEST
2026-01-05 00:45:00,0,134.74,2026-01-05 01:05:00,135.60854999999998,1,LONG,RSI_TREND,0,1.0,0.7867439385614308,MID,0.03,10926.026760666584,11038.225372832307,327.7808028199975,134.21,0.009885651051272617,33157.22971809743,0.0057838355351045425,191.77596348915628,79.57735132343382,112.19861216572247,0.34229769162941764,1,stop_loss_worst_case,True,SOLUSDT,TEST
2026-01-05 17:50:00,17,135.95,2026-01-05 19:15:00,137.41945,1,LONG,RSI_TREND,0,1.0,0.7962425899946457,MID,0.03,11038.225372832307,11161.806788236008,331.1467611849692,134.74,0.011445341159207647,28932.886890712332,0.006671312982714239,193.0203439414118,69.43892853770959,123.58141540370221,0.3731922817589423,1,trailing_stop,False,SOLUSDT,TEST
2026-01-06 11:15:00,11,138.62,2026-01-06 12:50:00,138.95175,1,LONG,RSI_TREND,0,1.0,0.7583558715002979,MILD,0.025,11161.806788236008,11242.487718529272,279.0451697059002,137.66,0.007498197548666129,37214.96638289293,0.004567969989900399,169.99684961220714,89.31591931894303,80.68093029326411,0.2891321515376805,1,trailing_stop,False,SOLUSDT,TEST
2026-01-06 14:05:00,14,139.49,2026-01-06 14:15:00,142.05615,1,LONG,RSI_TREND,0,1.0,0.7775360644294939,MILD,0.025,11242.487718529272,11446.865320210823,281.0621929632318,138.76,0.007439198855508014,37781.24478486445,0.007809498888809186,295.0525891652268,90.67498748367467,204.3776016815521,0.727161485245682,1,trailing_stop,False,SOLUSDT,TEST
2026-01-07 22:35:00,22,136.46,2026-01-08 02:35:00,137.23039999999997,1,LONG,RSI_SCALP,1,0.0,0.73539440131904,MILD,0.025,11446.865320210823,11722.079553373991,286.1716330052706,135.83447999999999,0.004,71542.90825131765,0.00624684156529376,446.91721296632903,171.70297980316235,275.2142331631667,0.96171039132344,1,trailing_stop,False,SOLUSDT,TEST
2026-01-09 01:30:00,1,139.13,2026-01-09 03:45:00,140.455095,1,LONG,RSI_TREND,0,1.0,0.8652681895331875,HIGH,0.035,11722.079553373991,12163.865905472587,410.27278436808973,137.75676,0.004,102568.19609202244,0.006707245022640673,687.95002271945,246.16367062085382,441.7863520985961,1.076811255660168,1,stop_loss_worst_case,True,SOLUSDT,TEST
2026-01-12 00:20:00,0,140.59,2026-01-12 01:30:00,141.16065,1,LONG,RSI_TREND,0,1.0,0.7679556724442912,MILD,0.025,12163.865905472587,12250.944170583793,304.0966476368147,138.99,0.011380610285226505,26720.592307037456,0.005658844868056001,151.20768664809557,64.1294215368899,87.07826511120568,0.2863506249999968,1,trailing_stop,False,SOLUSDT,TEST
2026-01-13 14:30:00,14,143.44,2026-01-13 14:50:00,142.05,1,LONG,RSI_TREND,0,1.0,0.7447235059429562,MILD,0.025,12250.944170583793,11777.589680734529,306.27360426459484,142.05,0.007822867919256661,39151.06421657409,-0.009690462911321696,-379.39193572948517,93.9625541197778,-473.35448984926296,-1.5455281919767534,0,stop_loss,False,SOLUSDT,TEST
2026-01-13 22:15:00,22,146.79,2026-01-13 22:50:00,146.819358,1,LONG,RSI_TREND,0,1.0,0.806280502521671,PREMIUM,0.0325,11777.589680734529,11770.326645245566,382.7716646238722,143.38,0.027404694071360685,13967.37594030974,0.0018799999999999481,26.258666767781584,33.521702256743374,-7.2630354889617905,-0.01897485148515045,0,break_even_stop,False,SOLUSDT,TEST
2026-01-14 14:10:00,14,145.23,2026-01-14 14:30:00,145.71775,1,LONG,RSI_TREND,0,1.0,0.7377032108924398,MILD,0.025,11770.326645245566,11890.621567246119,294.25816613113915,144.06,0.007714561234329828,38143.21478474876,0.0055537698822557095,211.83863748394836,91.54371548339701,120.29492200055135,0.40880742098739475,1,trailing_stop,False,SOLUSDT,TEST
